AreaId,Area_x,latitude,longitude,EFR
165,Pakistan,30.375321,69.345116,83.79
180,Palau,7.51498,134.58252,504.5
166,Panama,8.537981,-80.782127,4.864
168,Papua New Guinea,-6.314993,143.95555,504.5
169,Paraguay,-23.442503,-58.443832,256.3
170,Peru,-9.189967,-75.015152,1343
171,Philippines,12.879721,121.774017,151.9
173,Poland,51.919438,19.145136,31.61
174,Portugal,39.399872,-8.224454,27.63
177,Puerto Rico,18.220833,-66.590149,2.621
179,Qatar,25.354826,51.183884,0
117,Republic of Korea,35.907757,127.766922,35.44
146,Republic of Moldova,47.4116,28.3699,5.536
183,Romania,45.943161,24.96676,105.2
185,Russian Federation,61.52401,105.318756,2953
184,Rwanda,-1.940278,29.873888,10.28
188,Saint Kitts and Nevis,17.357822,-62.782998,0
189,Saint Lucia,13.909444,-60.978893,0
191,Saint Vincent and the Grenadines,12.9843,-61.287,0
244,Samoa,-13.759029,-172.104629,504.5
192,San Marino,43.94236,12.457777,77.81
193,Sao Tome and Principe,0.18636,6.613081,0
194,Saudi Arabia,23.885942,45.079162,0
195,Senegal,14.497401,-14.452362,20.16
272,Serbia,44.016521,21.005859,73.47
196,Seychelles,-4.679574,55.491977,217.5
197,Sierra Leone,8.460555,-11.779889,117.2
200,Singapore,1.352083,103.819836,0
199,Slovakia,48.669026,19.699024,26.86
198,Slovenia,46.151241,14.995463,17.08
25,Solomon Islands,-9.64571,160.156194,
201,Somalia,5.152149,46.199616,1.254
202,South Africa,-30.559482,22.937506,20.12
277,South Sudan,6.877,31.307,33.93
203,Spain,40.463667,-3.74922,38.15
38,Sri Lanka,7.873054,80.771797,38.54
276,Sudan,12.862807,30.217636,15.1
207,Suriname,3.919305,-56.027783,83.41
210,Sweden,60.128161,18.643501,104.7
211,Switzerland,46.818188,8.227512,27.28
212,Syrian Arab Republic,34.802075,38.996815,5.573
208,Tajikistan,38.861034,71.276093,6.752
216,Thailand,15.870032,100.992541,189.6
176,Timor-Leste,-8.874217,125.727539,4.069
217,Togo,8.619543,0.824782,8.125
218,Tokelau,-8.967363,-171.855881,504.5
219,Tonga,-21.178986,-175.198242,504.5
220,Trinidad and Tobago,10.691803,-61.222503,2.186
222,Tunisia,33.886917,9.537499,0.6767
223,Turkey,38.963745,35.243322,76.97
213,Turkmenistan,38.969719,59.556278,5.355
227,Tuvalu,-7.109535,177.64933,504.5
226,Uganda,1.373333,32.290275,49.17
230,Ukraine,48.379433,31.16558,98.1
225,United Arab Emirates,23.424076,53.847818,0
229,United Kingdom,55.378051,-3.435973,88.35
215,United Republic of Tanzania,-6.369028,34.888822,56.28
231,United States of America,37.09024,-95.712891,1491
234,Uruguay,-32.522779,-55.765835,134.8
235,Uzbekistan,41.377491,64.585262,14
155,Vanuatu,-15.376706,166.959158,
236,Venezuela (Bolivarian Republic of),6.42375,-66.58973,1025
237,Viet Nam,14.0583,108.277,432.6
249,Yemen,15.552727,48.516388,0
251,Zambia,-13.133897,27.849332,49.36
181,Zimbabwe,-19.015438,29.154857,9.348
