,AreaId,Area,1980,1985,1990,1995,2000,2005,2010,2015
81,129.0,Madagascar,13.0275,13.0275,12.415,11.8025,11.19,11.27,11.35,11.35
82,130.0,Malawi,13.75,13.75,13.75,13.75,15.42,17.51,17.51,17.51
83,131.0,Malaysia,5.19,5.19,5.19,4.001,4.77,5.744,5.744,5.744
84,132.0,Maldives,11.375816993464035,11.33,12.589635854341706,13.196545284780564,13.803454715219424,14.410364145658235,15.67,15.624183006535953
85,133.0,Mali,2.0347867217062094,2.099,3.862749875778752,4.776731452815001,5.6907130298512945,8.003,7.518676183923837,8.432657760960131
86,134.0,Malta,39.6,44.305,49.01,58.42,64.36,66.5367,72.158,79.366
87,136.0,Mauritania,7.172000000000001,8.8796,10.5872,14.0024,15.71,13.24,13.24,13.24
88,137.0,Mauritius,15.5833,18.0767,20.57,22.36,22.17,26.35,26.35,26.35
89,138.0,Mexico,20.99,21.8657,22.7414,25.3686,26.2443,28.31,30.11,31.43
90,140.0,Monaco,0.005955532107967224,0.0057503994768054135,0.005884419462497805,0.005269629369401019,0.005093975057087651,0.0048304935886176,0.004391357807834183,0.00451960368983459
91,141.0,Mongolia,3.3066,3.3066,3.3066,3.3066,3.6358,3.8004,3.8289999999999997,3.612
92,143.0,Morocco,48.24,52.8,52.895,54.05,62.595,60.41,49.68,49.68
93,144.0,Mozambique,0.7194,0.7194,0.7194,0.9183600000000001,0.9846799999999999,1.28433,1.51767,1.751
94,146.0,Republic of Moldova,32.68051503345612,30.065747712806502,29.15,24.836213071507057,22.22144575085744,15.82,16.991911109557996,14.377143788908379
95,147.0,Namibia,0.4279,0.4279,0.594,0.8157,0.83865,0.8616,0.8616,0.8616
96,149.0,Nepal,8.468465453746697,8.440579277396235,8.412693101045772,8.384806924695308,8.369,8.312,8.301148395643919,8.273262219293457
97,150.0,Netherlands,17.46,17.75,16.0233,13.755,14.63,18.84,20.56,16.93
98,154.0,North Macedonia,50.88071240112715,44.23879358877389,37.596874776420634,37.63,15.32,13.34,11.029199527007268,4.387280714654013
99,156.0,New Zealand,0.978,1.548,1.694,1.767,2.91925,3.63975,4.239,4.239
100,157.0,Nicaragua,2.1367416076378243,2.2178421106662554,2.2989426136946927,2.3800431167231295,2.421,2.542244122780004,2.696,2.7044451288368783
101,158.0,Niger,2.47683,2.47683,2.47683,3.1645,3.5083300000000004,4.196000000000001,5.28167,6.36733
102,159.0,Nigeria,5.7966,5.7966,5.7966,7.2602,7.992000000000001,8.969,9.667,9.667
103,162.0,Norway,1.521,1.5848,1.7124,1.7762,1.8319999999999999,2.0625,2.301,2.301
104,165.0,Pakistan,94.37,94.64,95.18,100.675,105.9,109.25,112.6,112.6
105,166.0,Panama,0.41734269357122683,0.4807885842902748,0.5442344750093229,0.6076803657283709,0.6711262564474189,0.7345721471664669,0.7714,0.9008
106,167.0,Czechia,37.91,37.91,37.91,37.91,33.46,29.475,28.97,26.43
107,168.0,Papua New Guinea,0.004131534569983692,0.0280775716694771,0.052023608768971705,0.07596964586846511,0.0915,0.1322,0.14780775716694775,0.17175379426644233
108,169.0,Paraguay,0.3422,0.3422,0.3422,0.3574,0.3726,0.860067,1.34753,1.835
109,171.0,Philippines,25.205,25.205,25.205,25.205,25.205,25.205,25.205,25.755
110,173.0,Poland,52.37,56.8,51.555,45.29,42.42,40.9167,40.3367,38.16
111,174.0,Portugal,19.83,19.83,19.83,19.83,21.0467,19.7133,18.38,18.38
112,175.0,Guinea-Bissau,0.1419,0.1419,0.1419,0.81895,1.496,1.496,1.496,1.496
113,177.0,Puerto Rico,17.81,17.81,17.81,18.465,19.12,22.29,22.71,22.71
114,178.0,Eritrea,-0.91725399837356,1.4631336405529962,3.8435212794795524,6.223908918406108,7.938,11.18,13.365071835185642,15.745459474112197
115,179.0,Qatar,263.225,267.85,272.475,279.85,282.6,374.1,374.1,374.1
116,181.0,Zimbabwe,18.4575,18.4575,18.4575,25.465,32.4725,36.495,33.51,33.51
117,183.0,Romania,17.6,19.19,19.11,15.39,10.1525,7.5405,6.2575,6.069
118,185.0,Russian Federation,4.6736699999999995,4.6736699999999995,4.6736699999999995,4.6736699999999995,4.44233,4.2635,4.316,4.3685
119,191.0,Saint Vincent and the Grenadines,10.597058823529403,10.253921568627451,9.910784313725495,10.0,9.224509803921586,8.881372549019606,8.538235294117651,7.9
120,193.0,Sao Tome and Principe,0.12423449635138947,0.32308946713906306,0.5219444379267366,0.3211,0.9196543795020939,1.1185093502897674,1.3173643210774513,1.876
121,194.0,Saudi Arabia,762.2330000000001,762.2330000000001,762.2330000000001,762.2330000000001,807.5,898.033,846.1,834.6
122,195.0,Senegal,6.916064671482579,7.23,8.711104856615673,9.60862494918222,11.81,11.403665134315315,12.301185226881785,13.198705319448333
123,196.0,Seychelles,0.009874476987447697,0.009997538764459756,0.0099581589958159,0.010243662318483879,0.010366724095495937,0.010627615062761506,0.010612847649520054,0.010735909426532112
124,197.0,Sierra Leone,0.758725,0.758725,0.758725,0.547175,0.4414,0.4958,0.4958,0.4958
125,198.0,Slovenia,5.8585,5.8585,5.8585,5.8585,5.8585,6.2005,6.297999999999999,6.1370000000000005
126,199.0,Slovakia,5.172000000000001,5.172000000000001,5.172000000000001,5.172000000000001,5.172000000000001,3.8335,2.9115,2.5825
127,201.0,Somalia,10.6355,10.6355,10.6355,19.8585,24.47,24.53,24.53,24.53
128,202.0,South Africa,42.56,42.56,42.56,41.24,40.76,45.195,47.4125,49.63
129,203.0,Spain,54.42,58.465,56.34,48.6,47.72,48.045,48.89,24.8245
130,207.0,Suriname,3.28775,3.28775,3.28775,3.96125,4.298,4.066669999999999,3.951,3.951
131,208.0,Tajikistan,76.46,76.46,76.46,76.46,76.92,75.37,73.82,73.82
132,209.0,Eswatini,47.71,57.580417788030054,61.692084241103785,65.80375069417727,75.67,74.02708360032447,78.13875005339821,82.2504165064717
133,210.0,Sweden,5.925,4.2860000000000005,4.288,4.101,3.8865,3.8280000000000003,3.88,3.88
134,211.0,Switzerland,9.874,10.09,10.185,10.02,9.6815,8.951,8.299,7.647
135,212.0,Syrian Arab Republic,49.5,69.25,89.0,108.75,137.1,125.9,125.9,125.9
136,213.0,Turkmenistan,125.2,125.2,125.2,125.2,128.3,143.5,143.5,143.5
137,217.0,Togo,1.3026168642361822,1.384,1.767837172891973,2.000447327219855,2.57,2.4656676358756457,2.698277790203528,2.930887944531423
138,220.0,Trinidad and Tobago,18.98,18.98,18.98,18.98,18.98,18.68,19.505,20.33
139,221.0,Oman,87.34,87.34,87.34,87.34,92.86,84.71,84.71,84.71
140,222.0,Tunisia,48.24,58.4,77.88,72.34,71.835,74.78,78.23,101.39
141,223.0,Turkey,25.5633,25.5633,25.5633,25.5633,27.6567,128.3,30.46,35.3667
142,225.0,United Arab Emirates,600.0,999.6120448179322,1146.2226890756333,1149.0,1556.0,1867.0,1732.6652661064468,1879.2759103641479
143,226.0,Uganda,2.009,2.188,2.367,2.546,2.725,4.3660000000000005,5.827999999999999,5.827999999999999
144,229.0,United Kingdom,22.98,19.61,20.49,20.61,23.76,20.685,14.065,14.015
145,230.0,Ukraine,28.68,28.68,28.68,28.68,23.68,19.53,19.24,15.965
146,231.0,United States of America,32.8,31.135,29.47,29.74,30.01,30.33,26.53,28.16
147,233.0,Burkina Faso,2.772,2.772,3.595,5.2185,6.8420000000000005,7.82,7.82,7.82
148,234.0,Uruguay,5.4238754325259615,6.100188738597046,6.776502044668131,7.452815350739216,9.786,8.805441962881423,9.481755268952508,10.158068575023593
149,235.0,Uzbekistan,154.167,154.167,154.167,154.167,154.13299999999998,141.0,144.5,148.0
150,236.0,Venezuela (Bolivarian Republic of),1.6976,2.0282,2.3588,2.6894,3.02,5.28,7.54,7.54
151,237.0,Viet Nam,8.385,10.03,12.055,14.08,16.105,18.13,18.13,18.13
152,238.0,Ethiopia,24.04,24.04,24.04,24.04,24.04,24.04,26.78,29.52
153,249.0,Yemen,139.1,139.1,139.1,150.1,161.1,168.6,168.6,168.6
154,250.0,Democratic Republic of the Congo,0.12295640459967608,0.14238203080767672,0.16180765701567737,0.18123328322367802,0.1939,0.2269,0.23951016184767995,0.2589357880556806
155,251.0,Zambia,2.99633,2.99633,2.99633,2.99633,2.91567,2.835,2.835,2.835
156,255.0,Belgium,110.9,105.42299999999999,99.9467,94.47,82.74,76.34,73.73,73.73
157,256.0,Luxembourg,3.292,5.556,4.026111456788952,4.685,5.017,4.136058248766766,3.69,3.648
158,272.0,Serbia,4.4105,4.4105,4.4105,4.4105,4.4105,4.4105,4.4105,4.8325
159,299.0,Occupied Palestinian Territory,58.19,58.19,58.19,58.19,58.19,58.19,19.7067,43.2667
160,351.0,China,32.41,35.14,36.52,38.38,40.16,41.73,43.81,43.4
