Area,1958,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iraq,,,,,,,,,,,,,,,,,56.97,,,,,57.3,,,,,57.61,,,,,60.11,,,,,76.39,,,,,92.68,,,,,,,,,,,,,,,,54.13,
Ireland,,,,,,,,,,,,,,,,,,,,,,5.149,,,,,,,,,,,,,,5.659,,,,,,,,,,,,,3.512,,3.6430000000000002,,,,,,,,
Israel,,,,,,,,,,,,133.0,,,,,137.9,,,,,141.7,,,,,,148.4,,,,136.7,,,,,132.2,,,,,,,133.1,,122.4,,,,,,,,,,,,,
Italy,,,,,,,,,,,,36.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.72,,,,,,,,47.36,,,,,,,30.13,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.572000000000001,,,,,,,,,,,,,,7.5,,,,,,,,,12.51,
Japan,,,,,,,,,,,,,,,,,,,,,,40.55,,,,,,,,,,,,42.02,,,,,41.01,,,,,38.83,,,,,38.05,,37.34,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,49.95,,,,,59.25,,,,,68.56,,,,,,,103.8,,,,,,,,,,81.75,,,,,102.1,,,,,94.03,,,,100.1,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.49,,,,,,,25.86,,,,,27.49,,,,,28.06,,,,29.73,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.89,,,,,,,,,,,,,19.13,,,,,,,26.53,,,,,,33.24,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.0,,,,,,,,2075.0,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.55,,,,,,65.44,,,,,,50.03,,,,,,,,,,,
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2769999999999997,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.394,,,,,,,1.4409999999999998,,,,,1.217,,,,,1.463,,,,1.3219999999999998,
Lebanon,,,,,,,,,,,,,,,,,24.37,,,,,,,,,,,,,,,,,,,41.89,,,,,,41.08,,,,,35.56,,,,,,,,,,58.79,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.929,,,,,,,,,,,,,2.5660000000000003,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2355,,,,,,,,,,,,,0.237,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,171.4,,,,,210.0,,,,,445.0,,,,,680.0,,,,657.1,,,,,,615.4,,,,,688.9,,,,,,,822.9,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
