area_id,area,1980,1985,1990,1995,2000,2005,2010,2015,2017,
183,Romania,17.6,19.19,19.11,15.39,10.1525,7.5405,6.2575,6.069,,
185,Russian Federation,4.67367,4.67367,4.67367,4.67367,4.44233,4.2635,4.316,4.3685,,
197,Sierra Leone,0.758725,0.758725,0.758725,0.547175,0.4414,0.4958,0.4958,0.4958,,
201,Somalia,10.6355,10.6355,10.6355,19.8585,24.47,24.53,24.53,24.53,,
202,South Africa,42.56,42.56,42.56,41.24,40.76,45.195,47.4125,49.63,,
207,Suriname,3.28775,3.28775,3.28775,3.96125,4.298,4.06667,3.951,3.951,,
194,Saudi Arabia,762.233,762.233,762.233,762.233,807.5,898.033,846.1,834.6,,
38,Sri Lanka,68.51,68.51,68.51,85.55,91.23,90.81,90.81,90.81,,
212,Syrian Arab Republic,49.5,69.25,89,108.75,137.1,125.9,125.9,125.9,,
272,Serbia,4.4105,4.4105,4.4105,4.4105,4.4105,4.4105,4.4105,4.8325,,
199,Slovakia,5.172,5.172,5.172,5.172,5.172,3.8335,2.9115,2.5825,,
198,Slovenia,5.8585,5.8585,5.8585,5.8585,5.8585,6.2005,6.298,6.137,,
203,Spain,54.42,58.465,56.34,48.6,47.72,48.045,48.89,24.8245,,
210,Sweden,5.925,4.286,4.288,4.101,3.8865,3.828,3.88,3.88,,
211,Switzerland,9.874,10.09,10.185,10.02,9.6815,8.951,8.299,7.647,,
222,Tunisia,48.24,58.4,77.88,72.34,71.835,74.78,78.23,101.39,,
220,Trinidad and Tobago,18.98,18.98,18.98,18.98,18.98,18.68,19.505,20.33,,
208,Tajikistan,76.46,76.46,76.46,76.46,76.92,75.37,73.82,73.82,,
223,Turkey,25.5633,25.5633,25.5633,25.5633,27.6567,128.3,30.46,35.3667,39.5633,
213,Turkmenistan,125.2,125.2,125.2,125.2,128.3,143.5,143.5,143.5,,
226,Uganda,2.009,2.188,2.367,2.546,2.725,4.366,5.828,5.828,,
231,United States of America,32.8,31.135,29.47,29.74,30.01,30.33,26.53,28.16,,
235,Uzbekistan,154.167,154.167,154.167,154.167,154.133,141,144.5,148,,
230,Ukraine,28.68,28.68,28.68,28.68,23.68,19.53,19.24,15.965,,
229,United Kingdom,22.98,19.61,20.49,20.61,23.76,20.685,14.065,14.015,,
236,Venezuela (Bolivarian Republic of),1.6976,2.0282,2.3588,2.6894,3.02,5.28,7.54,7.54,,
237,Viet Nam,8.385,10.03,12.055,14.08,16.105,18.13,18.13,18.13,,
249,Yemen,139.1,139.1,139.1,150.1,161.1,168.6,168.6,168.6,,
251,Zambia,2.99633,2.99633,2.99633,2.99633,2.91567,2.835,2.835,2.835,,
181,Zimbabwe,18.4575,18.4575,18.4575,25.465,32.4725,36.495,33.51,33.51,,
