Area,YearBin,gdp-2_pop-2,gdp-2_pop0,gdp-2_pop2,gdp0_pop-2,gdp0_pop0,gdp0_pop2,gdp2_pop-2,gdp2_pop0,gdp2_pop2
Kenya,1995,18.009068425391593,18.009068425391593,18.009068425391593,18.009068425391593,18.009068425391593,18.009068425391593,18.009068425391593,18.009068425391593,18.009068425391593
Kenya,2000,19.126133553173947,19.126133553173947,19.126133553173947,19.126133553173947,19.126133553173947,19.126133553173947,19.126133553173947,19.126133553173947,19.126133553173947
Kenya,2005,22.827699917559773,22.827699917559773,22.827699917559773,22.827699917559773,22.827699917559773,22.827699917559773,22.827699917559773,22.827699917559773,22.827699917559773
Kenya,2010,26.529266281945592,26.529266281945592,26.529266281945592,26.529266281945592,26.529266281945592,26.529266281945592,26.529266281945592,26.529266281945592,26.529266281945592
Kenya,2015,33.239901071723004,33.239901071723004,33.239901071723004,33.239901071723004,33.239901071723004,33.239901071723004,33.239901071723004,33.239901071723004,33.239901071723004
Kenya,2020,152.18796372629845,277.61995053586156,314.69414674361093,154.78428139598793,279.77383896674917,314.251717504809,154.15361363011817,278.96867271228365,314.251717504809
Kenya,2025,154.68947513053035,331.1706512778237,496.3595768068152,144.71393239901073,328.21269579554826,496.5986534762299,150.5968672712284,334.095630667766,496.5986534762299
Kenya,2030,247.23358065402596,487.1317669689477,645.3279747183293,252.73591646056622,487.1317669689477,645.3279747183293,262.44481084547044,485.3194558944766,645.3279747183293
Kyrgyzstan,1980,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226
Kyrgyzstan,1985,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226
Kyrgyzstan,1990,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226
Kyrgyzstan,1995,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226,63.55492079979226
Kyrgyzstan,2000,65.4375486886523,65.4375486886523,65.4375486886523,65.4375486886523,65.4375486886523,65.4375486886523,65.4375486886523,65.4375486886523,65.4375486886523
Kyrgyzstan,2005,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208
Kyrgyzstan,2010,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208
Kyrgyzstan,2015,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208,50.03245910153208
Kyrgyzstan,2020,46.61770752185579,42.5250880517532,46.279848719977906,46.61770752185579,42.5250880517532,46.279848719977906,46.61770752185579,42.5250880517532,42.64226540828397
Kyrgyzstan,2025,47.859971435990644,44.032488726902514,36.557091838533886,47.715961222193364,43.88847851310524,36.413081624736606,46.34597074352982,42.519786398502966,38.13105130392849
Kyrgyzstan,2030,48.474963213018256,38.870530089758866,30.90865854446394,46.96096252055743,35.53719675642554,29.395956216064388,44.34923829308405,35.57868644370527,34.22601713557188
Lao People's Democratic Republic,1980,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567
Lao People's Democratic Republic,1985,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567
Lao People's Democratic Republic,1990,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567
Lao People's Democratic Republic,1995,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567
Lao People's Democratic Republic,2000,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567,2.2770534550195567
