117,Republic of Korea,60.04,60.04,60.04,67.15,79.685,84.76,84.76,84.76,105.1692936,109.9717844,127.9086398
146,Republic of Moldova,32.68051503,30.06574771,29.15,24.83621307,22.22144575,15.82,16.99191111,14.37714379,30.01547547,37.41896562,62.36055556
183,Romania,17.6,19.19,19.11,15.39,10.1525,7.5405,6.2575,6.069,9.950499376,12.95796921,13.48200166
185,Russian Federation,4.67367,4.67367,4.67367,4.67367,4.44233,4.2635,4.316,4.3685,4.663627368,4.411577608,4.409245123
195,Senegal,6.916064671,7.23,8.711104857,9.608624949,11.81,11.40366513,12.30118523,13.19870532,81.04368244,81.72496899,99.98901294
197,Sierra Leone,0.758725,0.758725,0.758725,0.547175,0.4414,0.4958,0.4958,0.4958,5.99942278,13.58225701,5.578915174
199,Slovakia,5.172,5.172,5.172,5.172,5.172,3.8335,2.9115,2.5825,6.212064179,6.328392738,6.470389295
198,Slovenia,5.8585,5.8585,5.8585,5.8585,5.8585,6.2005,6.298,6.137,5.954395994,5.954395994,5.954395994
201,Somalia,10.6355,10.6355,10.6355,19.8585,24.47,24.53,24.53,24.53,32.3010065,37.94422133,40.22197432
202,South Africa,42.56,42.56,42.56,41.24,40.76,45.195,47.4125,49.63,156.4414559,168.9193084,218.570285
203,Spain,54.42,58.465,56.34,48.6,47.72,48.045,48.89,24.8245,45.05270801,44.94727743,37.75868393
38,Sri Lanka,68.51,68.51,68.51,85.55,91.23,90.81,90.81,90.81,100.0863332,162.1623033,168.4436653
207,Suriname,3.28775,3.28775,3.28775,3.96125,4.298,4.06667,3.951,3.951,3.710483868,3.710483868,3.596470453
210,Sweden,5.925,4.286,4.288,4.101,3.8865,3.828,3.88,3.88,10.31028948,10.31489506,10.78916153
211,Switzerland,9.874,10.09,10.185,10.02,9.6815,8.951,8.299,7.647,8.102143598,11.02873125,17.77589931
212,Syrian Arab Republic,49.5,69.25,89,108.75,137.1,125.9,125.9,125.9,133.3306612,131.16683,139.0124996
208,Tajikistan,76.46,76.46,76.46,76.46,76.92,75.37,73.82,73.82,48.07598568,39.52471257,36.18302281
217,Togo,1.302616864,1.384,1.767837173,2.000447327,2.57,2.465667636,2.69827779,2.930887945,18.08016092,19.26113261,26.05917802
220,Trinidad and Tobago,18.98,18.98,18.98,18.98,18.98,18.68,19.505,20.33,21.71257577,23.49018081,23.04036219
222,Tunisia,48.24,58.4,77.88,72.34,71.835,74.78,78.23,101.39,156.3251126,188.9209591,225.8757789
