"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,1967,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,1972,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,1977,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,1982,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,1987,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,1992,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,1997,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,2002,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,2007,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,2012,1782.0,"E","",""
"Kuwait",118,"Total area of the country (excl. coastal waters)",4100,2016,1782.0,"E","",""
"Kyrgyzstan",113,"Total area of the country (excl. coastal waters)",4100,1992,19995.0,"E","",""
"Kyrgyzstan",113,"Total area of the country (excl. coastal waters)",4100,1997,19995.0,"E","",""
"Kyrgyzstan",113,"Total area of the country (excl. coastal waters)",4100,2002,19995.0,"E","",""
"Kyrgyzstan",113,"Total area of the country (excl. coastal waters)",4100,2007,19995.0,"E","",""
"Kyrgyzstan",113,"Total area of the country (excl. coastal waters)",4100,2012,19995.0,"E","",""
"Kyrgyzstan",113,"Total area of the country (excl. coastal waters)",4100,2016,19995.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,1962,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,1967,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,1972,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,1977,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,1982,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,1987,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,1992,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,1997,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,2002,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,2007,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,2012,23680.0,"E","",""
"Lao People's Democratic Republic",120,"Total area of the country (excl. coastal waters)",4100,2016,23680.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,1962,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,1967,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,1972,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,1977,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,1982,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,1987,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,1992,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,1997,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,2002,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,2007,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,2012,1045.0,"E","",""
"Lebanon",121,"Total area of the country (excl. coastal waters)",4100,2016,1045.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,1962,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,1967,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,1972,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,1977,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,1982,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,1987,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,1992,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,1997,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,2002,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,2007,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,2012,33080.0,"E","",""
"Malaysia",131,"Total area of the country (excl. coastal waters)",4100,2016,33034.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,1962,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,1967,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,1972,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,1977,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,1982,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,1987,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,1992,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,1997,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,2002,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,2007,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,2012,30.0,"E","",""
"Maldives",132,"Total area of the country (excl. coastal waters)",4100,2016,30.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,1962,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,1967,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,1972,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,1977,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,1982,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,1987,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,1992,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,1997,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,2002,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,2007,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,2012,156412.0,"E","",""
"Mongolia",141,"Total area of the country (excl. coastal waters)",4100,2016,156412.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,1962,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,1967,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,1972,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,1977,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,1982,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,1987,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,1992,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,1997,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,2002,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,2007,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,2012,67659.0,"E","",""
"Myanmar",28,"Total area of the country (excl. coastal waters)",4100,2016,67659.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,1962,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,1967,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,1972,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,1977,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,1982,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,1987,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,1992,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,1997,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,2002,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,2007,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,2012,14718.0,"E","",""
"Nepal",149,"Total area of the country (excl. coastal waters)",4100,2016,14718.0,"E","",""
"Occupied Palestinian Territory",299,"Total area of the country (excl. coastal waters)",4100,1962,602.0,"E","",""
"Occupied Palestinian Territory",299,"Total area of the country (excl. coastal waters)",4100,1967,602.0,"E","",""
"Occupied Palestinian Territory",299,"Total area of the country (excl. coastal waters)",4100,1972,602.0,"E","",""
"Occupied Palestinian Territory",299,"Total area of the country (excl. coastal waters)",4100,1977,602.0,"E","",""
