"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,1982,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,1987,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,1992,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,1997,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,2002,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,2007,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,2012,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,2016,2890.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,1962,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,1967,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,1972,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,1977,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,1982,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,1987,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,1992,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,1997,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,2002,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,2007,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,2012,1.0,"E","",""
"Tokelau",218,"Total area of the country (excl. coastal waters)",4100,2016,1.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,1962,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,1967,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,1972,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,1977,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,1982,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,1987,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,1992,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,1997,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,2002,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,2007,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,2012,75.0,"E","",""
"Tonga",219,"Total area of the country (excl. coastal waters)",4100,2016,75.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,1962,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,1967,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,1972,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,1977,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,1982,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,1987,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,1992,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,1997,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,2002,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,2007,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,2012,3.0,"E","",""
"Tuvalu",227,"Total area of the country (excl. coastal waters)",4100,2016,3.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,1962,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,1967,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,1972,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,1977,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,1982,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,1987,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,1992,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,1997,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,2002,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,2007,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,2012,1219.0,"E","",""
"Vanuatu",155,"Total area of the country (excl. coastal waters)",4100,2016,1219.0,"E","",""
"Australia",10,"Arable land area",4101,1962,32103.0,"E","",""
"Australia",10,"Arable land area",4101,1967,41278.0,"E","",""
"Australia",10,"Arable land area",4101,1972,40616.0,"E","",""
"Australia",10,"Arable land area",4101,1977,41087.0,"E","",""
"Australia",10,"Arable land area",4101,1982,46374.0,"E","",""
"Australia",10,"Arable land area",4101,1987,46941.0,"E","",""
"Australia",10,"Arable land area",4101,1992,47200.0,"E","",""
"Australia",10,"Arable land area",4101,1997,39871.0,"E","",""
"Australia",10,"Arable land area",4101,2002,47799.0,"E","",""
"Australia",10,"Arable land area",4101,2007,44140.0,"E","",""
"Australia",10,"Arable land area",4101,2012,47113.0,"E","",""
"Australia",10,"Arable land area",4101,2016,46048.0,"E","",""
"Cook Islands",47,"Arable land area",4101,1962,1.0,"E","",""
"Cook Islands",47,"Arable land area",4101,1967,1.0,"E","",""
"Cook Islands",47,"Arable land area",4101,1972,1.0,"E","",""
"Cook Islands",47,"Arable land area",4101,1977,1.0,"E","",""
"Cook Islands",47,"Arable land area",4101,1982,1.0,"E","",""
"Cook Islands",47,"Arable land area",4101,1987,2.0,"E","",""
"Cook Islands",47,"Arable land area",4101,1992,2.0,"E","",""
"Cook Islands",47,"Arable land area",4101,1997,2.0,"E","",""
"Cook Islands",47,"Arable land area",4101,2002,1.58,"E","",""
"Cook Islands",47,"Arable land area",4101,2007,1.03,"E","",""
"Cook Islands",47,"Arable land area",4101,2012,1.0,"E","",""
"Cook Islands",47,"Arable land area",4101,2016,1.0,"E","",""
"Fiji",66,"Arable land area",4101,1962,89.0,"E","",""
"Fiji",66,"Arable land area",4101,1967,79.0,"E","",""
"Fiji",66,"Arable land area",4101,1972,70.0,"E","",""
"Fiji",66,"Arable land area",4101,1977,85.0,"E","",""
"Fiji",66,"Arable land area",4101,1982,100.0,"E","",""
"Fiji",66,"Arable land area",4101,1987,130.0,"E","",""
"Fiji",66,"Arable land area",4101,1992,180.0,"E","",""
"Fiji",66,"Arable land area",4101,1997,180.0,"E","",""
"Fiji",66,"Arable land area",4101,2002,170.0,"E","",""
"Fiji",66,"Arable land area",4101,2007,169.0,"E","",""
"Fiji",66,"Arable land area",4101,2012,165.0,"E","",""
"Fiji",66,"Arable land area",4101,2016,165.0,"E","",""
"Kiribati",83,"Arable land area",4101,1962,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,1967,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,1972,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,1977,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,1982,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,1987,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,1992,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,1997,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,2002,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,2007,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,2012,2.0,"E","",""
"Kiribati",83,"Arable land area",4101,2016,2.0,"E","",""
"Marshall Islands",127,"Arable land area",4101,1962,0.7273,"E","",""
"Marshall Islands",127,"Arable land area",4101,1967,0.7273,"E","",""
"Marshall Islands",127,"Arable land area",4101,1972,0.7273,"E","",""
"Marshall Islands",127,"Arable land area",4101,1977,0.7273,"E","",""
"Marshall Islands",127,"Arable land area",4101,1982,0.9091,"E","",""
"Marshall Islands",127,"Arable land area",4101,1987,0.9091,"E","",""
"Marshall Islands",127,"Arable land area",4101,1992,1.0,"E","",""
"Marshall Islands",127,"Arable land area",4101,1997,1.0,"E","",""
"Marshall Islands",127,"Arable land area",4101,2002,1.0,"E","",""
"Marshall Islands",127,"Arable land area",4101,2007,2.0,"E","",""
"Marshall Islands",127,"Arable land area",4101,2012,2.0,"E","",""
"Marshall Islands",127,"Arable land area",4101,2016,2.0,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,1962,1.818,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,1967,1.818,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,1972,1.818,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,1977,1.818,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,1982,2.273,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,1987,2.273,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,1992,2.5,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,1997,2.5,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,2002,2.5,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,2007,2.5,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,2012,2.0,"E","",""
"Micronesia (Federated States of)",145,"Arable land area",4101,2016,2.0,"E","",""
"Nauru",148,"Arable land area",4101,1962,0.0,"E","",""
"Nauru",148,"Arable land area",4101,1967,0.0,"E","",""
"Nauru",148,"Arable land area",4101,1972,0.0,"E","",""
"Nauru",148,"Arable land area",4101,1977,0.0,"E","",""
"Nauru",148,"Arable land area",4101,1982,0.0,"E","",""
"Nauru",148,"Arable land area",4101,1987,0.0,"E","",""
