Area,YearBin,gdp-2_pop2,gdp-2_pop0,gdp0_pop2,gdp0_pop0,gdp2_pop2,gdp2_pop0
Argentina,2000,8.772660007399184,8.772660007399184,8.772660007399184,8.772660007399184,8.772660007399184,8.772660007399184
Argentina,2005,9.615242323344429,9.615242323344429,9.615242323344429,9.615242323344429,9.615242323344429,9.615242323344429
Argentina,2010,10.457824639289676,10.457824639289676,10.457824639289676,10.457824639289676,10.457824639289676,10.457824639289676
Argentina,2015,10.457824639289676,10.457824639289676,10.457824639289676,10.457824639289676,10.457824639289676,10.457824639289676
Argentina,2020,11.532555391129199,10.089397643383412,11.555462038064702,10.11813114936442,11.533164282484485,10.06096472933729
Argentina,2025,13.601772721667281,11.161158444139772,13.561786286841775,11.162229784625652,13.561786286841775,11.162229784625652
Argentina,2030,17.51105253422123,11.647313170551245,17.52538845726969,11.657201874460478,17.419348871624113,11.657201874460478
Armenia,1980,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636
Armenia,1985,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636
Armenia,1990,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636
Armenia,1995,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636,59.007464192051636
Armenia,2000,34.96066169053863,34.96066169053863,34.96066169053863,34.96066169053863,34.96066169053863,34.96066169053863
Armenia,2005,57.6558402259431,57.6558402259431,57.6558402259431,57.6558402259431,57.6558402259431,57.6558402259431
Armenia,2010,59.33024006455517,59.33024006455517,59.33024006455517,59.33024006455517,59.33024006455517,59.33024006455517
Armenia,2015,57.43393181359692,57.43393181359692,57.43393181359692,57.43393181359692,57.43393181359692,57.43393181359692
Armenia,2020,44.22408427773312,50.00354317984686,43.11454221600224,48.894001118115966,43.11454221600224,48.894001118115966
Armenia,2025,41.153656375552146,48.08168183898209,40.861140741095824,47.400490258052756,40.84432949773627,47.38367901469321
Armenia,2030,38.0426461319012,44.32091703948418,38.02583488854164,44.304105796124624,37.88546100648932,44.16373191407231
Australia,1980,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372
Australia,1985,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372
Australia,1990,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372
Australia,1995,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372,8.858061921994372
Australia,2000,8.644953759549658,8.644953759549658,8.644953759549658,8.644953759549658,8.644953759549658,8.644953759549658
Australia,2005,7.442702050663451,7.442702050663451,7.442702050663451,7.442702050663451,7.442702050663451,7.442702050663451
Australia,2010,6.212303980699638,6.212303980699638,6.212303980699638,6.212303980699638,6.212303980699638,6.212303980699638
Australia,2015,6.240450341777242,6.240450341777242,6.240450341777242,6.240450341777242,6.240450341777242,6.240450341777242
Australia,2020,14.542609806286814,12.02297436867791,14.356307702011245,11.861199807627113,14.356307702011245,11.861199807627113
Australia,2025,14.101292735295438,13.328786815624257,13.949704476348913,13.167012254573457,13.857570477594606,13.074878255819153
Australia,2030,14.54771412652985,14.313730746285916,14.54771412652985,14.313730746285916,14.455580127775544,14.221596747531612
Austria,1980,9.229068803536887,9.229068803536887,9.229068803536887,9.229068803536887,9.229068803536887,9.229068803536887
Austria,1985,9.886709035645206,9.886709035645206,9.886709035645206,9.886709035645206,9.886709035645206,9.886709035645206
Austria,1990,10.513954130975407,10.513954130975407,10.513954130975407,10.513954130975407,10.513954130975407,10.513954130975407
Austria,1995,10.063553467808786,10.063553467808786,10.063553467808786,10.063553467808786,10.063553467808786,10.063553467808786
Austria,2000,10.129870129870127,10.129870129870127,10.129870129870127,10.129870129870127,10.129870129870127,10.129870129870127
Austria,2005,9.889472229897759,9.889472229897759,9.889472229897759,9.889472229897759,9.889472229897759,9.889472229897759
Austria,2010,9.649074329925392,9.649074329925392,9.649074329925392,9.649074329925392,9.649074329925392,9.649074329925392
Austria,2015,9.649074329925392,9.649074329925392,9.649074329925392,9.649074329925392,9.649074329925392,9.649074329925392
Austria,2020,17.707483166395328,8.590313887191476,17.707483166395328,8.590313887191476,17.314065709148085,8.453351558739786
Austria,2025,21.224107870904653,11.326611986255532,20.57620789853659,11.189649657803843,20.57620789853659,10.915725000900462
Austria,2030,22.601048576264812,11.326611986255532,22.207575855132504,11.189649657803843,22.374657000937056,10.915725000900462
Azerbaijan,1980,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702
Azerbaijan,1985,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702
